"software_id";"software_name";"associated_software";"software_description"
"S0093";"Backdoor.Oldrea";"Havex";"Backdoor.Oldreais a modular backdoor that used byDragonflyagainst energy companies since at least 2013.Backdoor.Oldreawas distributed via supply chain compromise, and included specialized modules to enumerate and map ICS-specific systems, processes, and protocols."
"S0031";"BACKSPACE";"Lecna";"BACKSPACEis a backdoor used byAPT30that dates back to at least 2005."
"S0606";"Bad Rabbit";"Win32/Diskcoder.D";"Bad Rabbitis a self-propagating ransomware that affected the Ukrainian transportation sector in 2017.Bad Rabbithas also targeted organizations and consumers in Russia."
"S0245";"BADCALL";"";"BADCALLis a Trojan malware variant used by the groupLazarus Group."
"S0642";"BADFLICK";"";"BADFLICKis a backdoor used byLeviathanin spearphishing campaigns first reported in 2018 that targeted the U.S. engineering and maritime industries."
"S1081";"BADHATCH";"";"BADHATCHis a backdoor that has been utilized byFIN8since at least 2019.BADHATCHhas been used to target the insurance, retail, technology, and chemical industries in the United States, Canada, South Africa, Panama, and Italy."
"S0128";"BADNEWS";"";"BADNEWSis malware that has been used by the actors responsible for thePatchworkcampaign. Its name was given due to its use of RSS feeds, forums, and blogs for command and control."
"S0337";"BadPatch";"";"BadPatchis a Windows Trojan that was used in a Gaza Hackers-linked campaign."
"S0234";"Bandook";"";"Bandookis a commercially available RAT, written in Delphi and C++, that has been available since at least 2007. It has been used against government, financial, energy, healthcare, education, IT, and legal organizations in the US, South America, Europe, and Southeast Asia.Bandookhas been used byDark Caracal, as well as in a separate campaign referred to as ""Operation Manul""."
"S0239";"Bankshot";"Trojan Manuscript";"Bankshotis a remote access tool (RAT) that was first reported by the Department of Homeland Security in December of 2017. In 2018,Lazarus Groupused theBankshotimplant in attacks against the Turkish financial sector."
"S0534";"Bazar";"KEGTAP, Team9, Bazaloader";"Bazaris a downloader and backdoor that has been used since at least April 2020, with infections primarily against professional services, healthcare, manufacturing, IT, logistics and travel companies across the US and Europe.Bazarreportedly has ties toTrickBotcampaigns and can be used to deploy additional malware, including ransomware, and to steal sensitive data."
"S0470";"BBK";"";"BBKis a downloader that has been used byBRONZE BUTLERsince at least 2019."
"S0127";"BBSRAT";"";"BBSRATis malware with remote access tool functionality that has been used in targeted compromises."
"S0574";"BendyBear";"";"BendyBearis an x64 shellcode for a stage-zero implant designed to download malware from a C2 server. First discovered in August 2020,BendyBearshares a variety of features withWaterbear, malware previously attributed to the Chinese cyber espionage groupBlackTech."
"S0017";"BISCUIT";"";"BISCUITis a backdoor that has been used byAPT1since as early as 2007."
"S0268";"Bisonal";"";"Bisonalis a remote access tool (RAT) that has been used byTonto Teamagainst public and private sector organizations in Russia, South Korea, and Japan since at least December 2010."
"S0570";"BitPaymer";"wp_encrypt, FriedEx";"BitPaymeris a ransomware variant first observed in August 2017 targeting hospitals in the U.K.BitPaymeruses a unique encryption key, ransom note, and contact information for each operation.BitPaymerhas several indicators suggesting overlap with theDridexmalware and is often delivered viaDridex."
"S0190";"BITSAdmin";"";"BITSAdminis a command line tool used to create and manageBITS Jobs."
"S1070";"Black Basta";"";"Black Bastais ransomware written in C++ that has been offered within the ransomware-as-a-service (RaaS) model since at least April 2022; there are variants that target Windows and VMWare ESXi servers.Black Bastaoperations have included the double extortion technique where in addition to demanding ransom for decrypting the files of targeted organizations the cyber actors also threaten to post sensitive information to a leak site if the ransom is not paid.Black Bastaaffiliates have targeted multiple high-value organizations, with the largest number of victims based in the U.S. Based on similarities in TTPs, leak sites, payment sites, and negotiation tactics, security researchers assess theBlack BastaRaaS operators could include current or former members of theContigroup."
"S1068";"BlackCat";"ALPHV, Noberus";"BlackCatis ransomware written in Rust that has been offered via the Ransomware-as-a-Service (RaaS) model. First observed November 2021,BlackCathas been used to target multiple sectors and organizations in various countries and regions in Africa, the Americas, Asia, Australia, and Europe."
"S0069";"BLACKCOFFEE";"";"BLACKCOFFEEis malware that has been used by several Chinese groups since at least 2013."
"S0089";"BlackEnergy";"Black Energy";"BlackEnergyis a malware toolkit that has been used by both criminal and APT actors. It dates back to at least 2007 and was originally designed to create botnets for use in conducting Distributed Denial of Service (DDoS) attacks, but its use has evolved to support various plug-ins. It is well known for being used during the confrontation between Georgia and Russia in 2008, as well as in targeting Ukrainian institutions. Variants include BlackEnergy 2 and BlackEnergy 3."
"S0564";"BlackMould";"";"BlackMouldis a web shell based onChina Chopperfor servers running Microsoft IIS. First reported in December 2019, it has been used in malicious campaigns byGALLIUMagainst telecommunication providers."
"S0520";"BLINDINGCAN";"";"BLINDINGCANis a remote access Trojan that has been used by the North Korean government since at least early 2020 in cyber operations against defense, engineering, and government organizations in Western Europe and the US."
"S0521";"BloodHound";"";"BloodHoundis an Active Directory (AD) reconnaissance tool that can reveal hidden relationships and identify attack paths within an AD environment."
"S0657";"BLUELIGHT";"";"BLUELIGHTis a remote access Trojan used byAPT37that was first observed in early 2021."
"S0486";"Bonadan";"";"Bonadanis a malicious version of OpenSSH which acts as a custom backdoor.Bonadanhas been active since at least 2018 and combines a new cryptocurrency-mining module with the same credential-stealing module used by the Onderon family of backdoors."
"S0360";"BONDUPDATER";"";"BONDUPDATERis a PowerShell backdoor used byOilRig. It was first observed in November 2017 during targeting of a Middle Eastern government organization, and an updated version was observed in August 2018 being used to target a government organization with spearphishing emails."
"S0635";"BoomBox";"";"BoomBoxis a downloader responsible for executing next stage components that has been used byAPT29since at least 2021."
"S0415";"BOOSTWRITE";"";"BOOSTWRITEis a loader crafted to be launched via abuse of the DLL search order of applications used byFIN7."
"S0114";"BOOTRASH";"";"BOOTRASHis aBootkitthat targets Windows operating systems. It has been used by threat actors that target the financial sector."
"S1079";"BOULDSPY";"";"BOULDSPYis an Android malware, detected in early 2023, with surveillance and remote-control capabilities. Analysis of exfiltrated C2 data suggests thatBOULDSPYprimarily targeted minority groups in Iran."
"S0651";"BoxCaon";"";"BoxCaonis a Windows backdoor that was used byIndigoZebrain a 2021 spearphishing campaign against Afghan government officials.BoxCaon's name stems from similarities shared with the malware familyxCaon."
"S0293";"BrainTest";"";"BrainTestis a family of Android malware."
"S1094";"BRATA";"";"BRATA(Brazilian Remote Access Tool, Android), is an evolving Android malware strain, detected in late 2018 and again in late 2021. Originating in Brazil,BRATAwas later also found in the UK, Poland, Italy, Spain, and USA, where it is believed to have targeted financial institutions such as banks. There are currently three known variants ofBRATA."
"S0252";"Brave Prince";"";"Brave Princeis a Korean-language implant that was first observed in the wild in December 2017. It contains similar code and behavior toGold Dragon, and was seen along withGold DragonandRunningRATin operations surrounding the 2018 Pyeongchang Winter Olympics."
"S0432";"Bread";"Joker";"Breadwas a large-scale billing fraud malware family known for employing many different cloaking and obfuscation techniques in an attempt to continuously evade Google Play Store’s malware detection. 1,700 unique Bread apps were detected and removed from the Google Play Store before being downloaded by users."
"S0204";"Briba";"";"Bribais a trojan used byElderwoodto open a backdoor and download files on to compromised hosts."
"S1063";"Brute Ratel C4";"BRc4";"Brute Ratel C4is a commercial red-teaming and adversarial attack simulation tool that first appeared in December 2020.Brute Ratel C4was specifically designed to avoid detection by endpoint detection and response (EDR) and antivirus (AV) capabilities, and deploys agents called badgers to enable arbitrary command execution for lateral movement, privilege escalation, and persistence. In September 2022, a cracked version ofBrute Ratel C4was leaked in the cybercriminal underground, leading to its use by threat actors."
"S0014";"BS2005";"";"BS2005is malware that was used byKe3changin spearphishing campaigns since at least 2011."
"S0043";"BUBBLEWRAP";"Backdoor.APT.FakeWinHTTPHelper";"BUBBLEWRAPis a full-featured, second-stage backdoor used by theadmin@338group. It is set to run when the system boots and includes functionality to check, upload, and register plug-ins that can further enhance its capabilities."
"S0471";"build_downer";"";"build_downeris a downloader that has been used byBRONZE BUTLERsince at least 2019."
"S1039";"Bumblebee";"";"Bumblebeeis a custom loader written in C++ that has been used by multiple threat actors, including possible initial access brokers, to download and execute additional payloads since at least March 2022.Bumblebeehas been linked to ransomware operations includingConti, Quantum, and Mountlocker and derived its name from the appearance of ""bumblebee"" in the user-agent."
"S0482";"Bundlore";"OSX.Bundlore";"Bundloreis adware written for macOS that has been in use since at least 2015. Though categorized as adware,Bundlorehas many features associated with more traditional backdoors."
"S1118";"BUSHWALK";"";"BUSHWALKis a web shell written in Perl that was inserted into the legitimate querymanifest.cgi file on compromised Ivanti Connect Secure VPNs duringCutting Edge."
"S0655";"BusyGasper";"";"BusyGasperis Android spyware that has been in use since May 2016. There have been less than 10 victims, all who appear to be located in Russia, that were all infected via physical access to the device."
"S0119";"Cachedump";"";"Cachedumpis a publicly-available tool that program extracts cached password hashes from a system’s registry."
"S0693";"CaddyWiper";"";"CaddyWiperis a destructive data wiper that has been used in attacks against organizations in Ukraine since at least March 2022."
"S0454";"Cadelspy";"";"Cadelspyis a backdoor that has been used byAPT39."
"S0025";"CALENDAR";"";"CALENDARis malware used byAPT1that mimics legitimate Gmail Calendar traffic."
"S0274";"Calisto";"";"Calistois a macOS Trojan that opens a backdoor on the compromised machine.Calistois believed to have first been developed in 2016."
"S0077";"CallMe";"";"CallMeis a Trojan designed to run on Apple OSX. It is based on a publicly available tool called Tiny SHell."
"S0351";"Cannon";"";"Cannonis a Trojan with variants written in C# and Delphi. It was first observed in April 2018."
"S0030";"Carbanak";"Anunak";"Carbanakis a full-featured, remote backdoor used by a group of the same name (Carbanak). It is intended for espionage, data exfiltration, and providing remote access to infected machines."
"S0484";"Carberp";"";"Carberpis a credential and information stealing malware that has been active since at least 2009.Carberp's source code was leaked online in 2013, and subsequently used as the foundation for theCarbanakbackdoor."
"S0335";"Carbon";"";"Carbonis a sophisticated, second-stage backdoor and framework that can be used to steal sensitive information from victims.Carbonhas been selectively used byTurlato target government and foreign affairs-related organizations in Central Asia."
"S0529";"CarbonSteal";"";"CarbonStealis one of a family of four surveillanceware tools that share a common C2 infrastructure.CarbonStealprimarily deals with audio surveillance."
"S0348";"Cardinal RAT";"";"Cardinal RATis a potentially low volume remote access trojan (RAT) observed since December 2015.Cardinal RATis notable for its unique utilization of uncompiled C# source code and the Microsoft Windows built-in csc.exe compiler."
"S0465";"CARROTBALL";"";"CARROTBALLis an FTP downloader utility that has been in use since at least 2019.CARROTBALLhas been used as a downloader to installSYSCON."
"S0462";"CARROTBAT";"";"CARROTBATis a customized dropper that has been in use since at least 2017.CARROTBAThas been used to installSYSCONand has infrastructure overlap withKONNI."
"S0261";"Catchamas";"";"Catchamasis a Windows Trojan that steals information from compromised systems."
"S0572";"Caterpillar WebShell";"";"Caterpillar WebShellis a self-developed Web Shell tool created by the groupVolatile Cedar."
"S0222";"CCBkdr";"";"CCBkdris malware that was injected into a signed version of CCleaner and distributed from CCleaner's distribution website."
"S1043";"ccf32";"";"ccf32is data collection malware that has been used since at least February 2019, most notably during theFunnyDreamcampaign; there is also a similar x64 version."
"S0480";"Cerberus";"";"Cerberusis a banking trojan whose usage can be rented on underground forums and marketplaces. Prior to being available to rent, the authors ofCerberusclaim was used in private operations for two years."
"S0160";"certutil";"certutil.exe";"certutilis a command-line utility that can be used to obtain certificate authority information and configure Certificate Services."
"S0631";"Chaes";"";"Chaesis a multistage information stealer written in several programming languages that collects login credentials, credit card numbers, and other financial information.Chaeswas first observed in 2020, and appears to primarily target victims in Brazil as well as other e-commerce customers in Latin America."
"S1083";"Chameleon";"";"Chameleonis an Android banking trojan that can leverage Android’s Accessibility Services to perform malicious activities. Believed to have been first active in January 2023,Chameleonhas been observed targeting users in Australia and Poland by masquerading as official apps."
"S0220";"Chaos";"";"Chaosis Linux malware that compromises systems by brute force attacks against SSH services. Once installed, it provides a reverse shell to its controllers, triggered by unsolicited packets."
"S0323";"Charger";"";"Chargeris Android malware that steals steals contacts and SMS messages from the user's device. It can also lock the device and demand ransom payment if it receives admin permissions."
"S0674";"CharmPower";"";"CharmPoweris a PowerShell-based, modular backdoor that has been used byMagic Houndsince at least 2022."
"S0144";"ChChes";"Scorpion, HAYMAKER";"ChChesis a Trojan that appears to be used exclusively bymenuPass. It was used to target Japanese organizations in 2016. Its lack of persistence methods suggests it may be intended as a first-stage tool."
"S1096";"Cheerscrypt";"";"Cheerscryptis a ransomware that was developed byCinnamon Tempestand has been used in attacks against ESXi and Windows environments since at least 2022.Cheerscryptwas derived from the leakedBabuksource code and has infrastructure overlaps with deployments of Night Sky ransomware, which was also derived fromBabuk."
"S0555";"CHEMISTGAMES";"";"CHEMISTGAMESis a modular backdoor that has been deployed bySandworm Team."
"S0107";"Cherry Picker";"";"Cherry Pickeris a point of sale (PoS) memory scraper."
"S0020";"China Chopper";"";"China Chopperis aWeb Shellhosted on Web servers to provide access back into an enterprise network that does not rely on an infected system calling back to a remote command and control server. It has been used by several threat groups."
"S1041";"Chinoxy";"";"Chinoxyis a backdoor that has been used since at least November 2018, during theFunnyDreamcampaign, to gain persistence and drop additional payloads. According to security researchers,Chinoxyhas been used by Chinese-speaking threat actors."
"S0023";"CHOPSTICK";"Backdoor.SofacyX, SPLM, Xagent, X-Agent, webhp";"CHOPSTICKis a malware family of modular backdoors used byAPT28. It has been used since at least 2012 and is usually dropped on victims as second-stage malware, though it has been used as first-stage malware in several cases. It has both Windows and Linux variants.     It is tracked separately from theX-Agent for Android."
"S0667";"Chrommme";"";"Chrommmeis a backdoor tool written using the Microsoft Foundation Class (MFC) framework that was first reported in June 2021; security researchers noted infrastructure overlaps withGelsemiummalware."
"S0602";"Circles";"";"Circlesreportedly takes advantage of Signaling System 7 (SS7) weaknesses, the protocol suite used to route phone calls, to both track the location of mobile devices and intercept voice calls and SMS messages. It can be connected to a telecommunications company’s infrastructure or purchased as a cloud service. Circles has reportedly been linked to the NSO Group."
"S0660";"Clambling";"";"Clamblingis a modular backdoor written in C++ that has been used byThreat Group-3390since at least 2017."
"S0611";"Clop";"";"Clopis a ransomware family that was first observed in February 2019 and has been used against retail, transportation and logistics, education, manufacturing, engineering, automotive, energy, financial, aerospace, telecommunications, professional and legal services, healthcare, and high tech industries.Clopis a variant of the CryptoMix ransomware."
"S0054";"CloudDuke";"MiniDionis, CloudLook";"CloudDukeis malware that was used byAPT29in 2015."
"S0106";"cmd";"cmd.exe";"cmdis the Windows command-line interpreter that can be used to interact with systems and execute other processes and utilities.Cmd.exe contains native functionality to perform many operations to interact with the system, including listing files in a directory (e.g.,dir), deleting files (e.g.,del), and copying files (e.g.,copy)."
"S1105";"COATHANGER";"";"COATHANGERis a remote access tool (RAT) targeting FortiGate networking appliances. First used in 2023 in targeted intrusions against military and government entities in the Netherlands along with other victims,COATHANGERwas disclosed in early 2024, with a high confidence assessment linking this malware to a state-sponsored entity in the People's Republic of China.COATHANGERis delivered after gaining access to a FortiGate device, with in-the-wild observations linked to exploitation of CVE-2022-42475. The nameCOATHANGERis based on a unique string in the malware used to encrypt configuration files on disk:""She took his coat and hung it up""."
"S0154";"Cobalt Strike";"";"Cobalt Strikeis a commercial, full-featured, remote access tool that bills itself as ""adversary simulation software designed to execute targeted attacks and emulate the post-exploitation actions of advanced threat actors"". Cobalt Strike’s interactive post-exploit capabilities cover the full range of ATT&CK tactics, all executed within a single, integrated system.In addition to its own capabilities,Cobalt Strikeleverages the capabilities of other well-known tools such as Metasploit andMimikatz."
"S0338";"Cobian RAT";"";"Cobian RATis a backdoor, remote access tool that has been observed since 2016."
"S0369";"CoinTicker";"";"CoinTickeris a malicious application that poses as a cryptocurrency price ticker and installs components of the open source backdoors EvilOSX and EggShell."
"S0244";"Comnie";"";"Comnieis a remote backdoor which has been used in attacks in East Asia."
"S0126";"ComRAT";"";"ComRATis a second stage implant suspected of being a descendant ofAgent.btzand used byTurla. The first version ofComRATwas identified in 2007, but the tool has undergone substantial development for many years since."
"S0426";"Concipit1248";"Corona Updates";"Concipit1248is iOS spyware that was discovered using the same name as the developer of the Android spywareCorona Updates. Further investigation revealed that the two pieces of software contained the same C2 URL and similar functionality."
"S0608";"Conficker";"Kido, Downadup";"Confickeris a computer worm first detected in October 2008 that targeted Microsoft Windows using the MS08-067 Windows vulnerability to spread. In 2016, a variant ofConfickermade its way on computers and removable disk drives belonging to a nuclear power plant."
"S0591";"ConnectWise";"ScreenConnect";"ConnectWiseis a legitimate remote administration tool that has been used since at least 2016 by threat actors includingMuddyWaterandGOLD SOUTHFIELDto connect to and conduct lateral movement in target environments."
"S0575";"Conti";"";"Contiis a Ransomware-as-a-Service (RaaS) that was first observed in December 2019.Contihas been deployed viaTrickBotand used against major corporations and government agencies, particularly those in North America. As with other ransomware families, actors usingContisteal sensitive files and information from compromised networks, and threaten to publish this data unless the ransom is paid."
"S0492";"CookieMiner";"";"CookieMineris mac-based malware that targets information associated with cryptocurrency exchanges as well as enabling cryptocurrency mining on the victim system itself. It was first discovered in the wild in 2019."
"S0212";"CORALDECK";"";"CORALDECKis an exfiltration tool used byAPT37."
"S0137";"CORESHELL";"Sofacy, SOURFACE";"CORESHELLis a downloader used byAPT28. The older versions of this malware are known as SOURFACE and newer versions as CORESHELL."
"S0425";"Corona Updates";"Wabi Music, Concipit1248";"Corona Updatesis Android spyware that took advantage of the Coronavirus pandemic. The campaign distributing this spyware is tracked as Project Spy. Multiple variants of this spyware have been discovered to have been hosted on the Google Play Store."
"S0050";"CosmicDuke";"TinyBaron, BotgenStudios, NemesisGemina";"CosmicDukeis malware that was used byAPT29from 2010 to 2015."
"S0614";"CostaBricks";"";"CostaBricksis a loader that was used to deploy 32-bit backdoors in theCostaRictocampaign."
"S0046";"CozyCar";"CozyDuke, CozyBear, Cozer, EuroAPT";"CozyCaris malware that was used byAPT29from 2010 to 2015. It is a modular malware platform, and its backdoor component can be instructed to download and execute a variety of modules with different functionality."
"S0488";"CrackMapExec";"";"CrackMapExec, or CME, is a post-exploitation tool developed in Python and designed for penetration testing against networks.CrackMapExeccollects Active Directory information to conduct lateral movement through targeted networks."
"S1023";"CreepyDrive";"";"CreepyDriveis a custom implant has been used byPOLONIUMsince at least early 2022 for C2 with and exfiltration to actor-controlled OneDrive accounts.POLONIUMhas used a similar implant called CreepyBox that relies on actor-controlled DropBox accounts."
"S1024";"CreepySnail";"";"CreepySnailis a custom PowerShell implant that has been used byPOLONIUMsince at least 2022."
"S0115";"Crimson";"MSIL/Crimson";"Crimsonis a remote access Trojan that has been used byTransparent Tribesince at least 2016."
"S0235";"CrossRAT";"";"CrossRATis a cross platform RAT."
"S0538";"Crutch";"";"Crutchis a backdoor designed for document theft that has been used byTurlasince at least 2015."
"S0498";"Cryptoistic";"";"Cryptoisticis a backdoor, written in Swift, that has been used byLazarus Group."
"S0527";"CSPY Downloader";"";"CSPY Downloaderis a tool designed to evade analysis and download additional payloads used byKimsuky."
"S0625";"Cuba";"";"Cubais a Windows-based ransomware family that has been used against financial institutions, technology, and logistics organizations in North and South America as well as Europe since at least December 2019."
"S0687";"Cyclops Blink";"";"Cyclops Blinkis a modular malware that has been used in widespread campaigns bySandworm Teamsince at least 2019 to target Small/Home Office (SOHO) network devices, including WatchGuard and Asus."
"S0497";"Dacls";"";"Daclsis a multi-platform remote access tool used byLazarus Groupsince at least December 2019."
"S1014";"DanBot";"";"DanBotis a first-stage remote access Trojan written in C# that has been used byHEXANEsince at least 2018."
"S0334";"DarkComet";"DarkKomet, Fynloski, Krademok, FYNLOS";"DarkCometis a Windows remote administration tool and backdoor."
"S1111";"DarkGate";"";"DarkGatefirst emerged in 2018 and has evolved into an initial access and data gathering tool associated with various criminal cyber operations. Written in Delphi and named ""DarkGate"" by its author,DarkGateis associated with credential theft, cryptomining, cryptotheft, and pre-ransomware actions. DarkGate use increased significantly starting in 2022 and is under active development by its author, who provides it as a Malware-as-a-Service offering."
"S1066";"DarkTortilla";"";"DarkTortillais a highly configurable .NET-based crypter that has been possibly active since at least August 2015.DarkTortillahas been used to deliver popular information stealers, RATs, and payloads such asAgent Tesla, AsyncRat,NanoCore, RedLine,Cobalt Strike, and Metasploit."
"S0673";"DarkWatchman";"";"DarkWatchmanis a lightweight JavaScript-based remote access tool (RAT) that avoids file operations; it was first observed in November 2021."
"S0187";"Daserf";"Muirim, Nioupale";"Daserfis a backdoor that has been used to spy on and steal from Japanese, South Korean, Russian, Singaporean, and Chinese victims. Researchers have identified versions written in both Visual C and Delphi."
