"mitigation_code";"tech_code";"mitigation_implementing"
"M1015";"T1003005";"Consider adding users to the ""Protected Users"" Active Directory security group. This can help limit the caching of users' plaintext credentials. "
"M1015";"T1003006";"Manage the access control list for ""Replicating Directory Changes"" and other permissions associated with domain controller replication "
"M1015";"T1072";"Ensure proper system and access isolation for critical network systems through use of group policy."
"M1015";"T1649";"Ensure certificate authorities (CA) are properly secured, including treating CA servers (and other resources hosting CA certificates) as tier 0 assets. Harden abusable CA settings and attributes.

For example, consider disabling the usage of AD CS certificate SANs within relevant authentication protocol settings to enforce strict user mappings and prevent certificates from authenticating as other identifies.[10] Also consider enforcing CA Certificate Manager approval for the templates that include SAN as an issuance requirement."
"M1015";"T1558";"For containing the impact of a previously generated golden ticket, reset the built-in KRBTGT account password twice, which will invalidate any existing golden tickets that have been created with the KRBTGT hash and other Kerberos tickets derived from it. For each domain, change the KRBTGT account password once, force replication, and then change the password a second time. Consider rotating the KRBTGT account password every 180 days "
"M1015";"T1558001";"For containing the impact of a previously generated golden ticket, reset the built-in KRBTGT account password twice, which will invalidate any existing golden tickets that have been created with the KRBTGT hash and other Kerberos tickets derived from it. For each domain, change the KRBTGT account password once, force replication, and then change the password a second time. Consider rotating the KRBTGT account password every 180 days "
"M1015";"T1552";"Remove vulnerable Group Policy Preferences "
"M1015";"T1552006";"Remove vulnerable Group Policy Preferences "
"M1015";"T1550";"Configure Active Directory to prevent use of certain techniques; use SID Filtering, etc."
"M1015";"T1550003";"To contain the impact of a previously generated golden ticket, reset the built-in KRBTGT account password twice, which will invalidate any existing golden tickets that have been created with the KRBTGT hash and other Kerberos tickets derived from it.[13] For each domain, change the KRBTGT account password once, force replication, and then change the password a second time. Consider rotating the KRBTGT account password every 180 days "
"M1015";"T1078";"Disable legacy authentication, which does not support MFA, and require the use of modern authentication protocols instead."
"M1015";"T1078004";"Disable legacy authentication, which does not support MFA, and require the use of modern authentication protocols instead."
"M1049";"T1547006";"Common tools for detecting Linux rootkits include: rkhunter, chrootkit, although rootkits may be designed to evade certain detection tools. "
"M1049";"T1059";"Anti-virus can be used to automatically quarantine suspicious files."
"M1049";"T1059001";"Anti-virus can be used to automatically quarantine suspicious files."
"M1049";"T1059005";"Anti-virus can be used to automatically quarantine suspicious files."
"M1049";"T1059006";"Anti-virus can be used to automatically quarantine suspicious files."
"M1049";"T1564";"Review and audit file/folder exclusions, and limit scope of exclusions to only what is required where possible "
"M1049";"T1564012";"Review and audit file/folder exclusions, and limit scope of exclusions to only what is required where possible "
"M1049";"T1036";"Anti-virus can be used to automatically quarantine suspicious files."
"M1049";"T1036008";"Anti-virus can be used to automatically quarantine suspicious files."
"M1049";"T1027";"Anti-virus can be used to automatically detect and quarantine suspicious files. Consider utilizing the Antimalware Scan Interface (AMSI) on Windows 10+ to analyze commands after being processed/interpreted. "
"M1049";"T1027002";"Employ heuristic-based malware detection. Ensure updated virus definitions and create custom signatures for observed malware."
"M1049";"T1027009";"Anti-virus can be used to automatically detect and quarantine suspicious files."
"M1049";"T1027010";"Consider utilizing the Antimalware Scan Interface (AMSI) on Windows 10+ to analyze commands after being processed/interpreted."
"M1049";"T1027012";"Use signatures or heuristics to detect malicious LNK and subsequently downloaded files."
"M1049";"T1027013";"Anti-virus can be used to automatically detect and quarantine suspicious files, including those with high entropy measurements or with otherwise potentially malicious signs of obfuscation."
"M1049";"T1566";"Anti-virus can automatically quarantine suspicious files."
"M1049";"T1566001";"Anti-virus can automatically quarantine suspicious files."
"M1049";"T1566003";"Anti-virus can automatically quarantine suspicious files."
"M1049";"T1080";"Anti-virus can be used to automatically quarantine suspicious files. "
"M1049";"T1221";"Network/Host intrusion prevention systems, antivirus, and detonation chambers can be employed to prevent documents from fetching and/or executing malicious payloads "
"M1013";"T1212";"Application developers should consider taking measures to validate authentication requests by enabling one-time passwords, providing timestamps or sequence numbers for messages sent, using digital signatures, and/or using random session keys "
"M1013";"T1564";"Application developers should consider limiting the requirements for custom or otherwise difficult to manage file/folder exclusions. Where possible, install applications to trusted system folder paths that are already protected by restricted file and directory permissions."
"M1013";"T1564009";"Configure applications to use the application bundle structure which leverages the /Resources folder location. "
"M1013";"T1564012";"Application developers should consider limiting the requirements for custom or otherwise difficult to manage file/folder exclusions. Where possible, install applications to trusted system folder paths that are already protected by restricted file and directory permissions."
"M1013";"T1574";"When possible, include hash values in manifest files to help prevent side-loading of malicious libraries "
"M1013";"T1574002";"When possible, include hash values in manifest files to help prevent side-loading of malicious libraries "
"M1013";"T1559";"Enable the Hardened Runtime capability when developing applications. Do not include the com.apple.security.get-task-allow entitlement with the value set to any variation of true."
"M1013";"T1559003";"Enable the Hardened Runtime capability when developing applications. Do not include the com.apple.security.get-task-allow entitlement with the value set to any variation of true."
"M1013";"T1647";"Ensure applications are using Apple's developer guidance which enables hardened runtime "
"M1013";"T1593";"Application developers uploading to public code repositories should be careful to avoid publishing sensitive information such as credentials and API keys."
"M1013";"T1593003";"Application developers uploading to public code repositories should be careful to avoid publishing sensitive information such as credentials and API keys."
"M1013";"T1195";"Application developers should be cautious when selecting third-party libraries to integrate into their application. Additionally, where possible, developers should lock software dependencies to specific versions rather than pulling the latest version on build."
"M1013";"T1195001";"Application developers should be cautious when selecting third-party libraries to integrate into their application. Additionally, where possible, developers should lock software dependencies to specific versions rather than pulling the latest version on build."
"M1013";"T1550";"Consider implementing token binding strategies, such as Azure AD token protection or OAuth Proof of Possession, that cryptographically bind a token to a secret. This may prevent the token from being used without knowledge of the secret or possession of the device the token is tied to "
"M1013";"T1550001";"Consider implementing token binding strategies, such as Azure AD token protection or OAuth Proof of Possession, that cryptographically bind a token to a secret. This may prevent the token from being used without knowledge of the secret or possession of the device the token is tied to "
"M1013";"T1078";"Ensure that applications do not store sensitive data or credentials insecurely. (e.g. plaintext credentials in code, published credentials in repositories, or credentials in public cloud storage)."
"M1013";"T1626";"Applications very rarely require administrator permission. Developers should be cautioned against using this higher degree of access to avoid being flagged as a potentially malicious application."
"M1013";"T1517";"Application developers could be encouraged to avoid placing sensitive data in notification text."
"M1013";"T1513";"Application developers can apply the FLAG_SECURE property to sensitive screens within their apps to make it more difficult for the screen contents to be captured. "
"M1013";"T1635";"Developers should use Android App Links and iOS Universal Links to provide a secure binding between URIs and applications, preventing malicious applications from intercepting redirections. Additionally, for OAuth use cases, PKCE should be used to prevent use of stolen authorization codes. "
"M1013";"T1635001";"Developers should use Android App Links and iOS Universal Links to provide a secure binding between URIs and applications, preventing malicious applications from intercepting redirections. Additionally, for OAuth use cases, PKCE should be used to prevent use of stolen authorization codes. "
"M1013";"T1474";"Application developers should be cautious when selecting third-party libraries to integrate into their application."
"M1013";"T1474001";"Application developers should be cautious when selecting third-party libraries to integrate into their application."
"M1048";"T1189";"Browser sandboxes can be used to mitigate some of the impact of exploitation, but sandbox escapes may still exist. Other types of virtualization and application microsegmentation may also mitigate the impact of client-side exploitation. The risks of additional exploits and weaknesses in implementation may still exist for these types of systems"
"M1048";"T1611";"Consider utilizing seccomp, seccomp-bpf, or a similar solution that restricts certain system calls such as mount. In Kubernetes environments, consider defining Pod Security Standards that limit container access to host process namespaces, the host network, and the host file system "
"M1048";"T1190";"Application isolation will limit what other processes and system features the exploited target can access."
"M1048";"T1203";"Browser sandboxes can be used to mitigate some of the impact of exploitation, but sandbox escapes may still exist. Other types of virtualization and application microsegmentation may also mitigate the impact of client-side exploitation. Risks of additional exploits and weaknesses in those systems may still exist"
"M1048";"T1212";"Make it difficult for adversaries to advance their operation through exploitation of undiscovered or unpatched vulnerabilities by using sandboxing. Other types of virtualization and application microsegmentation may also mitigate the impact of some types of exploitation. Risks of additional exploits and weaknesses in these systems may still exist "
"M1048";"T1211";"Make it difficult for adversaries to advance their operation through exploitation of undiscovered or unpatched vulnerabilities by using sandboxing. Other types of virtualization and application microsegmentation may also mitigate the impact of some types of exploitation. Risks of additional exploits and weaknesses in these systems may still exist. "
"M1048";"T1068";"Make it difficult for adversaries to advance their operation through exploitation of undiscovered or unpatched vulnerabilities by using sandboxing. Other types of virtualization and application microsegmentation may also mitigate the impact of some types of exploitation. Risks of additional exploits and weaknesses in these systems may still exist. "
"M1048";"T1210";"Make it difficult for adversaries to advance their operation through exploitation of undiscovered or unpatched vulnerabilities by using sandboxing. Other types of virtualization and application microsegmentation may also mitigate the impact of some types of exploitation. Risks of additional exploits and weaknesses in these systems may still exist. "
"M1048";"T1559";"Ensure all COM alerts and Protected View are enabled. "
"M1048";"T1559001";"Ensure all COM alerts and Protected View are enabled. "
"M1048";"T1559002";"Ensure Protected View is enabled. "
"M1048";"T1027006";"Browser sandboxes can be used to mitigate some of the impact of exploitation, but sandbox escapes may still exist."
"M1048";"T1021003";"Ensure all COM alerts and Protected View are enabled. "
"M1047";"T1548";"Check for common UAC bypass weaknesses on Windows systems to be aware of the risk posture and address issues where appropriate "
"M1047";"T1548002";"Check for common UAC bypass weaknesses on Windows systems to be aware of the risk posture and address issues where appropriate "
"M1047";"T1548006";"Routinely check applications using Automation under Security & Privacy System Preferences. To reset permissions, user's can utilize the tccutil reset command. When using Mobile Device Management (MDM), review the list of enabled or disabled applications in the MDMOverrides.plist which overrides the TCC database "
"M1047";"T1087004";"Routinely check user permissions to ensure only the expected users have the ability to list IAM identities or otherwise discover cloud accounts."
"M1047";"T1560";"System scans can be performed to identify unauthorized archival utilities."
"M1047";"T1560001";"System scans can be performed to identify unauthorized archival utilities."
"M1047";"T1176";"Ensure extensions that are installed are the intended ones as many malicious extensions will masquerade as legitimate ones."
"M1047";"T1612";"Audit images deployed within the environment to ensure they do not contain any malicious components."
"M1047";"T1059006";"Inventory systems for unauthorized Python installations."
"M1047";"T1543";"Use auditing tools capable of detecting privilege and service abuse opportunities on systems within an enterprise and correct them."
"M1047";"T1543003";"Use auditing tools capable of detecting privilege and service abuse opportunities on systems within an enterprise and correct them."
"M1047";"T1543004";"Use auditing tools capable of detecting folder permissions abuse opportunities on systems, especially reviewing changes made to folders by third-party software."
"M1047";"T1530";"Frequently check permissions on cloud storage to ensure proper permissions are set to deny open or unprivileged access to resources. "
"M1047";"T1213";"Consider periodic review of accounts and privileges for critical and sensitive repositories."
"M1047";"T1213001";"Consider periodic review of accounts and privileges for critical and sensitive Confluence repositories."
"M1047";"T1213002";"Consider periodic review of accounts and privileges for critical and sensitive SharePoint repositories."
"M1047";"T1213003";"Consider periodic reviews of accounts and privileges for critical and sensitive code repositories. Scan code repositories for exposed credentials or other sensitive information."
"M1047";"T1610";"Scan images before deployment, and block those that are not in compliance with security policies. In Kubernetes environments, the admission controller can be used to validate images after a container deployment request is authenticated but before the container is deployed "
"M1047";"T1484";"Identify and correct GPO permissions abuse opportunities (ex: GPO modification privileges) using auditing tools such as BloodHound (version 1.5.1 and later) "
"M1047";"T1484001";"Identify and correct GPO permissions abuse opportunities (ex: GPO modification privileges) using auditing tools such as BloodHound (version 1.5.1 and later) "
"M1047";"T1482";"Map the trusts within existing domains/forests and keep trust relationships to a minimum."
"M1047";"T1114";"Enterprise email solutions have monitoring mechanisms that may include the ability to audit auto-forwarding rules on a regular basis. In an Exchange environment, Administrators can use Get-InboxRule to discover and remove potentially malicious auto-forwarding rules"
"M1047";"T1114003";"Enterprise email solutions have monitoring mechanisms that may include the ability to audit auto-forwarding rules on a regular basis. In an Exchange environment, Administrators can use Get-InboxRule / Remove-InboxRule and Get-TransportRule / Remove-TransportRule to discover and remove potentially malicious auto-fowarding and transport rules.[6][7][8] In addition to this, a MAPI Editor can be utilized to examine the underlying database structure and discover any modifications/tampering of the properties of auto-forwarding rules"
"M1047";"T1546006";"Binaries can also be baselined for what dynamic libraries they require, and if an app requires a new dynamic library that wasn't included as part of an update, it should be investigated."
"M1047";"T1606";"Administrators should perform an audit of all access lists and the permissions they have been granted to access web applications and services. This should be done extensively on all resources in order to establish a baseline, followed up on with periodic audits of new or updated resources. Suspicious accounts/credentials should be investigated and removed. Enable advanced auditing on AD FS. Check the success and failure audit options in the AD FS Management snap-in. Enable Audit Application Generated events on the AD FS farm via Group Policy Object.["
"M1047";"T1606001";"Administrators should perform an audit of all access lists and the permissions they have been granted to access web applications and services. This should be done extensively on all resources in order to establish a baseline, followed up on with periodic audits of new or updated resources. Suspicious accounts/credentials should be investigated and removed."
"M1047";"T1606002";"Enable advanced auditing on AD FS. Check the success and failure audit options in the AD FS Management snap-in. Enable Audit Application Generated events on the AD FS farm via Group Policy Object.[ "
"M1047";"T1564008";"Enterprise email solutions may have monitoring mechanisms that may include the ability to audit inbox rules on a regular basis. In an Exchange environment, Administrators can use Get-InboxRule / Remove-InboxRule and Get-TransportRule / Remove-TransportRule to discover and remove potentially malicious inbox and transport rules."
"M1047";"T1574";"Use auditing tools capable of detecting hijacking opportunities on systems within an enterprise and correct them. Toolkits like the PowerSploit framework contain PowerUp modules that can be used to explore systems for hijacking weaknesses. Use the program sxstrace.exe that is included with Windows along with manual inspection to check manifest files for side-loading vulnerabilities in software. Find and eliminate path interception weaknesses in program configuration files, scripts, the PATH environment variable, services, and in shortcuts by surrounding PATH variables with quotation marks when functions allow for them. Be aware of the search order Windows uses for executing or loading binaries and use fully qualified paths wherever appropriate. Clean up old Windows Registry keys when software is uninstalled to avoid keys with no associated legitimate binaries. Periodically search for and correct or report path interception weaknesses on systems that may have been introduced using custom or available tools that report software using insecure path configurations



"
"M1047";"T1574001";"Use auditing tools capable of detecting hijacking opportunities on systems within an enterprise and correct them. Toolkits like the PowerSploit framework contain PowerUp modules that can be used to explore systems for hijacking weaknesses. Use the program sxstrace.exe that is included with Windows along with manual inspection to check manifest files for side-loading vulnerabilities in software.

"
"M1047";"T1574005";"Use auditing tools capable of detecting hijacking opportunities on systems within an enterprise and correct them. Toolkits like the PowerSploit framework contain PowerUp modules that can be used to explore systems for hijacking weaknesses."
"M1047";"T1574007";"Find and eliminate path interception weaknesses in program configuration files, scripts, the PATH environment variable, services, and in shortcuts by surrounding PATH variables with quotation marks when functions allow for them. Be aware of the search order Windows uses for executing or loading binaries and use fully qualified paths wherever appropriate. Clean up old Windows Registry keys when software is uninstalled to avoid keys with no associated legitimate binaries. Periodically search for and correct or report path interception weaknesses on systems that may have been introduced using custom or available tools that report software using insecure path configurations"
"M1047";"T1574008";"Find and eliminate path interception weaknesses in program configuration files, scripts, the PATH environment variable, services, and in shortcuts by surrounding PATH variables with quotation marks when functions allow for them. Be aware of the search order Windows uses for executing or loading binaries and use fully qualified paths wherever appropriate. Clean up old Windows Registry keys when software is uninstalled to avoid keys with no associated legitimate binaries. Periodically search for and correct or report path interception weaknesses on systems that may have been introduced using custom or available tools that report software using insecure path configurations"
"M1047";"T1574009";"Find and eliminate path interception weaknesses in program configuration files, scripts, the PATH environment variable, services, and in shortcuts by surrounding PATH variables with quotation marks when functions allow for them. Be aware of the search order Windows uses for executing or loading binaries and use fully qualified paths wherever appropriate. Clean up old Windows Registry keys when software is uninstalled to avoid keys with no associated legitimate binaries. Periodically search for and correct or report path interception weaknesses on systems that may have been introduced using custom or available tools that report software using insecure path configurations"
"M1047";"T1574010";"Use auditing tools capable of detecting hijacking opportunities on systems within an enterprise and correct them. Toolkits like the PowerSploit framework contain PowerUp modules that can be used to explore systems for hijacking weaknesses."
"M1047";"T1562";"Routinely check account role permissions to ensure only expected users and roles have permission to modify defensive tools and settings."
"M1047";"T1562002";"Consider periodic review of auditpol settings for Administrator accounts and perform dynamic baselining on SIEM(s) to investigate potential malicious activity. Also ensure that the EventLog service and its threads are properly running."
"M1047";"T1562004";"Routinely check account role permissions to ensure only expected users and roles have permission to modify system firewalls."
"M1047";"T1562007";"Routinely check account role permissions to ensure only expected users and roles have permission to modify cloud firewalls."
"M1047";"T1562012";"Routinely check account role permissions to ensure only expected users and roles have permission to modify logging settings. To ensure Audit rules can not be modified at runtime, add the auditctl -e 2 as the last command in the audit.rules files. Once started, any attempt to change the configuration in this mode will be audited and denied. The configuration can only be changed by rebooting the machine.

"
"M1047";"T1525";"Periodically check the integrity of images and containers used in cloud deployments to ensure they have not been modified to include malicious software."
"M1047";"T1070008";"In an Exchange environment, Administrators can use Get-TransportRule / Remove-TransportRule to discover and remove potentially malicious transport rules.[ "
"M1047";"T1556";"Review authentication logs to ensure that mechanisms such as enforcement of MFA are functioning as intended. Periodically review the hybrid identity solution in use for any discrepancies. For example, review all Pass Through Authentication (PTA) agents in the Azure Management Portal to identify any unwanted or unapproved ones.[16] If ADFS is in use, review DLLs and executable files in the AD FS and Global Assembly Cache directories to ensure that they are signed by Microsoft. Note that in some cases binaries may be catalog-signed, which may cause the file to appear unsigned when viewing file properties. Periodically review for new and unknown network provider DLLs within the Registry (HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Services\<NetworkProviderName>\NetworkProvider\ProviderPath). Ensure only valid network provider DLLs are registered. The name of these can be found in the Registry key at HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Control\NetworkProvider\Order, and have corresponding service subkey pointing to a DLL at HKEY_LOCAL_MACHINE\SYSTEM\CurrentC ontrolSet\Services\<NetworkProviderName>\NetworkProvider.

"
"M1047";"T1556006";"Review MFA actions alongside authentication logs to ensure that MFA-based logins are functioning as intended. Review user accounts to ensure that all accounts have MFA enabled "
"M1047";"T1556007";"Periodically review the hybrid identity solution in use for any discrepancies. For example, review all PTA agents in the Azure Management Portal to identify any unwanted or unapproved ones.[16] If ADFS is in use, review DLLs and executable files in the AD FS and Global Assembly Cache directories to ensure that they are signed by Microsoft. Note that in some cases binaries may be catalog-signed, which may cause the file to appear unsigned when viewing file properties. "
"M1047";"T1556008";"Periodically review for new and unknown network provider DLLs within the Registry (HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Services\<NetworkProviderName>\NetworkProvider\ProviderPath). Ensure only valid network provider DLLs are registered. The name of these can be found in the Registry key at HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Control\NetworkProvider\Order, and have corresponding service subkey pointing to a DLL at HKEY_LOCAL_MACHINE\SYSTEM\CurrentC ontrolSet\Services\<NetworkProviderName>\NetworkProvider."
"M1047";"T1578";"Routinely monitor user permissions to ensure only the expected users have the capability to modify cloud compute infrastructure components."
"M1047";"T1578001";"Routinely check user permissions to ensure only the expected users have the capability to create snapshots and backups."
"M1047";"T1578002";"Routinely check user permissions to ensure only the expected users have the capability to create new instances."
"M1047";"T1578003";"Routinely check user permissions to ensure only the expected users have the capability to delete new instances."
"M1047";"T1578005";"Routinely monitor user permissions to ensure only the expected users have the capability to request quota adjustments or modify tenant-level compute settings."
"M1047";"T1027";"Consider periodic review of common fileless storage locations (such as the Registry or WMI repository) to potentially identify abnormal and malicious data."
"M1047";"T1027011";"Consider periodic review of common fileless storage locations (such as the Registry or WMI repository) to potentially identify abnormal and malicious data."
"M1047";"T1566";"Perform audits or scans of systems, permissions, insecure software, insecure configurations, etc. to identify potential weaknesses."
"M1047";"T1566002";"Audit applications and their permissions to ensure access to data and resources are limited based upon necessity and principle of least privilege."
"M1047";"T1653";"Periodically inspect systems for abnormal and unexpected power settings that may indicate malicious activty."
"M1047";"T1542";"Perform audits or scans of systems, permissions, insecure software, insecure configurations, etc. to identify potential weaknesses."
"M1047";"T1542004";"Periodically check the integrity of system image to ensure it has not been modified. "
"M1047";"T1542005";"Periodically check the integrity of the running configuration and system image to ensure they have not been modified. "
"M1047";"T1563002";"Audit the Remote Desktop Users group membership regularly. Remove unnecessary accounts and groups from Remote Desktop Users groups."
"M1047";"T1021";"Perform audits or scans of systems, permissions, insecure software, insecure configurations, etc. to identify potential weaknesses."
"M1047";"T1021001";"Audit the Remote Desktop Users group membership regularly. Remove unnecessary accounts and groups from Remote Desktop Users groups."
"M1047";"T1021005";"Inventory workstations for unauthorized VNC server software."
"M1047";"T1053";"Toolkits like the PowerSploit framework contain PowerUp modules that can be used to explore systems for permission weaknesses in scheduled tasks that could be used to escalate privileges. "
"M1047";"T1053002";"Toolkits like the PowerSploit framework contain PowerUp modules that can be used to explore systems for permission weaknesses in scheduled tasks that could be used to escalate privileges. [11] Windows operating system also creates a registry key specifically associated with the creation of a scheduled task on the destination host at: Microsoft\Windows NT\CurrentVersion\Schedule\TaskCache\Tree\At1. [22] In Linux and macOS environments, scheduled tasks using at can be audited locally, or through centrally collected logging, using syslog, or auditd events from the host. "
"M1047";"T1053003";"Review changes to the cron schedule. cron execution can be reviewed within the /var/log directory. To validate the location of the cron log file, check the syslog config at /etc/rsyslog.conf or /etc/syslog.conf"
"M1047";"T1053005";"Toolkits like the PowerSploit framework contain PowerUp modules that can be used to explore systems for permission weaknesses in scheduled tasks that could be used to escalate privileges. "
"M1047";"T1593";"Scan public code repositories for exposed credentials or other sensitive information before making commits. Ensure that any leaked credentials are removed from the commit history, not just the current latest version of the code."
"M1047";"T1593003";"Scan public code repositories for exposed credentials or other sensitive information before making commits. Ensure that any leaked credentials are removed from the commit history, not just the current latest version of the code."
"M1047";"T1505";"Regularly check component software on critical services that adversaries may target for persistence to verify the integrity of the systems and identify if unexpected changes have been made."
"M1047";"T1505001";"Regularly check component software on critical services that adversaries may target for persistence to verify the integrity of the systems and identify if unexpected changes have been made."
"M1047";"T1505002";"Regularly check component software on critical services that adversaries may target for persistence to verify the integrity of the systems and identify if unexpected changes have been made."
"M1047";"T1505004";"Regularly check installed IIS components to verify the integrity of the web server and identify if unexpected changes have been made."
"M1047";"T1505005";"Regularly check component software on critical services that adversaries may target for persistence to verify the integrity of the systems and identify if unexpected changes have been made."
"M1047";"T1528";"Administrators should audit all cloud and container accounts to ensure that they are necessary and that the permissions granted to them are appropriate. Additionally, administrators should perform an audit of all OAuth applications and the permissions they have been granted to access organizational data. This should be done extensively on all applications in order to establish a baseline, followed up on with periodic audits of new or updated applications. Suspicious applications should be investigated and removed."
"M1047";"T1649";"Check and remediate unneeded existing authentication certificates as well as common abusable misconfigurations of CA settings and permissions, such as AD CS certificate enrollment permissions and published overly permissive certificate templates (which define available settings for created certificates). For example, available AD CS certificate templates can be checked via the Certificate Authority MMC snap-in (certsrv.msc). certutil.exe can also be used to examine various information within an AD CS CA database. "
"M1047";"T1558";"Perform audits or scans of systems, permissions, insecure software, insecure configurations, etc. to identify potential weaknesses."
"M1047";"T1558004";"Kerberos preauthentication is enabled by default. Older protocols might not support preauthentication therefore it is possible to have this setting disabled. Make sure that all accounts have preauthentication whenever possible and audit changes to setting. Windows tools such as PowerShell may be used to easily find which accounts have preauthentication disabled "
"M1047";"T1552";"Preemptively search for files containing passwords or other credentials and take actions to reduce the exposure risk when found."
"M1047";"T1552001";"Preemptively search for files containing passwords and take actions to reduce the exposure risk when found."
"M1047";"T1552002";"Proactively search for credentials within the Registry and attempt to remediate the risk."
"M1047";"T1552004";"Ensure only authorized keys are allowed access to critical resources and audit access lists regularly."
"M1047";"T1552006";"Search SYSVOL for any existing GGPs that may contain credentials and remove them. "
"M1047";"T1552008";"Preemptively search through communication services to find shared unsecured credentials. Searching for common patterns like ""password is "", ""password="" and take actions to reduce exposure when found."
"M1047";"T1550";"Perform audits or scans of systems, permissions, insecure software, insecure configurations, etc. to identify potential weaknesses."
"M1047";"T1550001";"Administrators should audit all cloud and container accounts to ensure that they are necessary and that the permissions granted to them are appropriate. Where possible, the ability to request temporary account tokens on behalf of another accounts should be disabled. Additionally, administrators can leverage audit tools to monitor actions that can be conducted as a result of OAuth 2.0 access. For instance, audit reports enable admins to identify privilege escalation actions such as role creations or policy modifications, which could be actions performed after initial access."
"M1047";"T1204003";"Audit images deployed within the environment to ensure they do not contain any malicious components."
"M1040";"T1059";"On Windows 10, enable Attack Surface Reduction (ASR) rules to prevent Visual Basic and JavaScript scripts from executing potentially malicious downloaded content "
"M1040";"T1059005";"On Windows 10, enable Attack Surface Reduction (ASR) rules to prevent Visual Basic scripts from executing potentially malicious downloaded content "
"M1040";"T1059007";"On Windows 10, enable Attack Surface Reduction (ASR) rules to prevent JavaScript scripts from executing potentially malicious downloaded content "
"M1040";"T1543";"On Windows 10, enable Attack Surface Reduction (ASR) rules to prevent an application from writing a signed vulnerable driver to the system.[2] On Windows 10 and 11, enable Microsoft Vulnerable Driver Blocklist to assist in hardening against third party-developed drivers "
"M1040";"T1543003";"On Windows 10, enable Attack Surface Reduction (ASR) rules to prevent an application from writing a signed vulnerable driver to the system.[2] On Windows 10 and 11, enable Microsoft Vulnerable Driver Blocklist to assist in hardening against third party-developed service drivers. "
"M1040";"T1486";"On Windows 10, enable cloud-delivered protection and Attack Surface Reduction (ASR) rules to block the execution of files that resemble ransomware. "
"M1040";"T1006";"Some endpoint security solutions can be configured to block some types of behaviors related to efforts by an adversary to create backups, such as command execution or preventing API calls to backup related services."
"M1040";"T1546003";"On Windows 10, enable Attack Surface Reduction (ASR) rules to prevent malware from abusing WMI to attain persistence. "
