software_id;software_name;associated_software;software_description
S0160;certutil;certutil.exe;is a command-line utility that can be used to obtain certificate authority information and configure Certificate Services.
S0631;Chaes;;is a multistage information stealer written in several programming languages that collects login credentials, credit card numbers, and other financial information.was first observed in 2020, and appears to primarily target victims in Brazil as well as other e-commerce customers in Latin America.
S1083;Chameleon;;is an Android banking trojan that can leverage Android’s Accessibility Services to perform malicious activities. Believed to have been first active in January 2023,has been observed targeting users in Australia and Poland by masquerading as official apps.
S0220;Chaos;;is Linux malware that compromises systems by brute force attacks against SSH services. Once installed, it provides a reverse shell to its controllers, triggered by unsolicited packets.
S0323;Charger;;is Android malware that steals steals contacts and SMS messages from the user's device. It can also lock the device and demand ransom payment if it receives admin permissions.
S0674;CharmPower;;is a PowerShell-based, modular backdoor that has been used byMagic Houndsince at least 2022.
S0144;ChChes;Scorpion, HAYMAKER;is a Trojan that appears to be used exclusively bymenuPass. It was used to target Japanese organizations in 2016. Its lack of persistence methods suggests it may be intended as a first-stage tool.
S1096;Cheerscrypt;;is a ransomware that was developed byCinnamon Tempestand has been used in attacks against ESXi and Windows environments since at least 2022.was derived from the leakedBabuksource code and has infrastructure overlaps with deployments of Night Sky ransomware, which was also derived fromBabuk.
S0555;CHEMISTGAMES;;is a modular backdoor that has been deployed bySandworm Team.
S0107;Cherry Picker;;is a point of sale (PoS) memory scraper.
S0020;China Chopper;;is aWeb Shellhosted on Web servers to provide access back into an enterprise network that does not rely on an infected system calling back to a remote command and control server. It has been used by several threat groups.
S1041;Chinoxy;;is a backdoor that has been used since at least November 2018, during theFunnyDreamcampaign, to gain persistence and drop additional payloads. According to security researchers,has been used by Chinese-speaking threat actors.
S0023;CHOPSTICK;Backdoor.SofacyX, SPLM, Xagent, X-Agent, webhp;is a malware family of modular backdoors used byAPT28. It has been used since at least 2012 and is usually dropped on victims as second-stage malware, though it has been used as first-stage malware in several cases. It has both Windows and Linux variants.     It is tracked separately from theX-Agent for Android.
S0667;Chrommme;;"is a backdoor tool written using the Microsoft Foundation Class (MFC) framework that was first reported in June 2021; security researchers noted infrastructure overlaps withGelsemiummalware."
S0602;Circles;;reportedly takes advantage of Signaling System 7 (SS7) weaknesses, the protocol suite used to route phone calls, to both track the location of mobile devices and intercept voice calls and SMS messages. It can be connected to a telecommunications company’s infrastructure or purchased as a cloud service.  has reportedly been linked to the NSO Group.
S0660;Clambling;;is a modular backdoor written in C++ that has been used byThreat Group-3390since at least 2017.
S0611;Clop;;is a ransomware family that was first observed in February 2019 and has been used against retail, transportation and logistics, education, manufacturing, engineering, automotive, energy, financial, aerospace, telecommunications, professional and legal services, healthcare, and high tech industries.is a variant of the CryptoMix ransomware.
S0054;CloudDuke;MiniDionis, CloudLook;is malware that was used byAPT29in 2015.
S0106;cmd;cmd.exe;is the Windows command-line interpreter that can be used to interact with systems and execute other processes and utilities.Cmd.exe contains native functionality to perform many operations to interact with the system, including listing files in a directory (e.g.,dir), deleting files (e.g.,del), and copying files (e.g.,copy).
S1105;COATHANGER;;"is a remote access tool (RAT) targeting FortiGate networking appliances. First used in 2023 in targeted intrusions against military and government entities in the Netherlands along with other victims,was disclosed in early 2024, with a high confidence assessment linking this malware to a state-sponsored entity in the People's Republic of China.is delivered after gaining access to a FortiGate device, with in-the-wild observations linked to exploitation of CVE-2022-42475. The nameis based on a unique string in the malware used to encrypt configuration files on disk:""She took his coat and hung it up""."
S0154;Cobalt Strike;;"is a commercial, full-featured, remote access tool that bills itself as ""adversary simulation software designed to execute targeted attacks and emulate the post-exploitation actions of advanced threat actors"". ’s interactive post-exploit capabilities cover the full range of ATT&CK tactics, all executed within a single, integrated system.In addition to its own capabilities,leverages the capabilities of other well-known tools such as Metasploit andMimikatz."
S0338;Cobian RAT;;is a backdoor, remote access tool that has been observed since 2016.
S0369;CoinTicker;;is a malicious application that poses as a cryptocurrency price ticker and installs components of the open source backdoors EvilOSX and EggShell.
S0244;Comnie;;is a remote backdoor which has been used in attacks in East Asia.
S0126;ComRAT;;is a second stage implant suspected of being a descendant ofAgent.btzand used byTurla. The first version ofwas identified in 2007, but the tool has undergone substantial development for many years since.
S0426;Concipit1248;Corona Updates;is iOS spyware that was discovered using the same name as the developer of the Android spywareCorona Updates. Further investigation revealed that the two pieces of software contained the same C2 URL and similar functionality.
S0608;Conficker;Kido, Downadup;is a computer worm first detected in October 2008 that targeted Microsoft Windows using the MS08-067 Windows vulnerability to spread. In 2016, a variant ofmade its way on computers and removable disk drives belonging to a nuclear power plant.
S0591;ConnectWise;ScreenConnect;is a legitimate remote administration tool that has been used since at least 2016 by threat actors includingMuddyWaterandGOLD SOUTHFIELDto connect to and conduct lateral movement in target environments.
S0575;Conti;;is a Ransomware-as-a-Service (RaaS) that was first observed in December 2019.has been deployed viaTrickBotand used against major corporations and government agencies, particularly those in North America. As with other ransomware families, actors usingsteal sensitive files and information from compromised networks, and threaten to publish this data unless the ransom is paid.
S0492;CookieMiner;;is mac-based malware that targets information associated with cryptocurrency exchanges as well as enabling cryptocurrency mining on the victim system itself. It was first discovered in the wild in 2019.
S0212;CORALDECK;;is an exfiltration tool used byAPT37.
S0137;CORESHELL;Sofacy, SOURFACE;is a downloader used byAPT28. The older versions of this malware are known as SOURFACE and newer versions as .
S0425;Corona Updates;Wabi Music, Concipit1248;is Android spyware that took advantage of the Coronavirus pandemic. The campaign distributing this spyware is tracked as Project Spy. Multiple variants of this spyware have been discovered to have been hosted on the Google Play Store.
S0050;CosmicDuke;TinyBaron, BotgenStudios, NemesisGemina;is malware that was used byAPT29from 2010 to 2015.
S0614;CostaBricks;;is a loader that was used to deploy 32-bit backdoors in theCostaRictocampaign.
S0046;CozyCar;CozyDuke, CozyBear, Cozer, EuroAPT;is malware that was used byAPT29from 2010 to 2015. It is a modular malware platform, and its backdoor component can be instructed to download and execute a variety of modules with different functionality.
S0488;CrackMapExec;;, or CME, is a post-exploitation tool developed in Python and designed for penetration testing against networks.collects Active Directory information to conduct lateral movement through targeted networks.
S1023;CreepyDrive;;is a custom implant has been used byPOLONIUMsince at least early 2022 for C2 with and exfiltration to actor-controlled OneDrive accounts.POLONIUMhas used a similar implant called CreepyBox that relies on actor-controlled DropBox accounts.
S1024;CreepySnail;;is a custom PowerShell implant that has been used byPOLONIUMsince at least 2022.
S0115;Crimson;MSIL/Crimson;is a remote access Trojan that has been used byTransparent Tribesince at least 2016.
S0235;CrossRAT;;is a cross platform RAT.
S0538;Crutch;;is a backdoor designed for document theft that has been used byTurlasince at least 2015.
S0498;Cryptoistic;;is a backdoor, written in Swift, that has been used byLazarus Group.
S0527;CSPY Downloader;;is a tool designed to evade analysis and download additional payloads used byKimsuky.
S0625;Cuba;;is a Windows-based ransomware family that has been used against financial institutions, technology, and logistics organizations in North and South America as well as Europe since at least December 2019.
S0687;Cyclops Blink;;is a modular malware that has been used in widespread campaigns bySandworm Teamsince at least 2019 to target Small/Home Office (SOHO) network devices, including WatchGuard and Asus.
S0497;Dacls;;is a multi-platform remote access tool used byLazarus Groupsince at least December 2019.
S1014;DanBot;;is a first-stage remote access Trojan written in C# that has been used byHEXANEsince at least 2018.
S0334;DarkComet;DarkKomet, Fynloski, Krademok, FYNLOS;is a Windows remote administration tool and backdoor.
S1111;DarkGate;;"first emerged in 2018 and has evolved into an initial access and data gathering tool associated with various criminal cyber operations. Written in Delphi and named """" by its author,is associated with credential theft, cryptomining, cryptotheft, and pre-ransomware actions.  use increased significantly starting in 2022 and is under active development by its author, who provides it as a Malware-as-a-Service offering."
S1066;DarkTortilla;;is a highly configurable .NET-based crypter that has been possibly active since at least August 2015.has been used to deliver popular information stealers, RATs, and payloads such asAgent Tesla, AsyncRat,NanoCore, RedLine,Cobalt Strike, and Metasploit.
S0673;DarkWatchman;;"is a lightweight JavaScript-based remote access tool (RAT) that avoids file operations; it was first observed in November 2021."
S0187;Daserf;Muirim, Nioupale;is a backdoor that has been used to spy on and steal from Japanese, South Korean, Russian, Singaporean, and Chinese victims. Researchers have identified versions written in both Visual C and Delphi.
S1033;DCSrv;;is destructive malware that has been used byMoses Staffsince at least  September 2021. Thoughhas ransomware-like capabilities,Moses Staffdoes not demand ransom or offer a decryption key.
S0255;DDKONG;;is a malware sample that was part of a campaign byRancor.was first seen used in February 2017.
S1052;DEADEYE;DEADEYE.EMBED, DEADEYE.APPEND;is a malware launcher that has been used byAPT41since at least May 2021.has variants that can either embed a payload inside a compiled binary (.EMBED) or append it to the end of a file (.APPEND).
S0243;DealersChoice;;is a Flash exploitation framework used byAPT28.
S0616;DEATHRANSOM;;is ransomware written in C that has been used since at least 2020, and has potential overlap withFIVEHANDSandHELLOKITTY.
S0479;DEFENSOR ID;;is a banking trojan capable of clearing a victim’s bank account or cryptocurrency wallet and taking over email or social media accounts.performs the majority of its malicious functionality by abusing Android’s accessibility service.
S0301;Dendroid;;is an Android remote access tool (RAT) primarily targeting Western countries. The RAT was available for purchase for $300 and came bundled with a utility to inject the RAT into legitimate applications.
S0354;Denis;;is a Windows backdoor and Trojan used byAPT32.shares several similarities to theSOUNDBITEbackdoor and has been used in conjunction with theGoopybackdoor.
S0021;Derusbi;PHOTO;is malware used by multiple Chinese APT groups. Both Windows and Linux variants have been observed.
S0505;Desert Scorpion;;is surveillanceware that has targeted the Middle East, specifically individuals located in Palestine.is suspected to have been operated by the threat actor APT-C-23.
S0659;Diavol;;is a ransomware variant first observed in June 2021 that is capable of prioritizing file types to encrypt based on a pre-configured list of extensions defined by the attacker.  TheRansomware-as-a Service (RaaS) program is managed byWizard Spiderand it has been observed being deployed byBazar.
S0200;Dipsind;;is a malware family of backdoors that appear to be used exclusively byPLATINUM.
S1088;Disco;;is a custom implant that has been used byMoustachedBouncersince at least 2020 including in campaigns using targeted malicious content injection for initial access and command and control.
S1021;DnsSystem;;is a .NET based DNS backdoor, which is a customized version of the open source tool DIG.net, that has been used byHEXANEsince at least June 2022.
S0213;DOGCALL;;is a backdoor used byAPT37that has been used to target South Korean government and military organizations in 2017. It is typically dropped using a Hangul Word Processor (HWP) exploit.
S0281;Dok;Retefe;is a Trojan application disguised as a .zip file that is able to collect user credentials and install a malicious proxy server to redirect a user's network traffic (i.e.Adversary-in-the-Middle).
S0600;Doki;;is a backdoor that uses a unique Dogecoin-based Domain Generation Algorithm and was first observed in July 2020.was used in conjunction with thengrokMining Botnet in a campaign that targeted Docker servers in cloud platforms.
S0695;Donut;;is an open source framework used to generate position-independent shellcode.generated code has been used by multiple threat actors to inject and load malicious payloads into memory.
S0550;DoubleAgent;;is a family of RAT malware dating back to 2013, known to target groups with contentious relationships with the Chinese government.
S0472;down_new;;is a downloader that has been used byBRONZE BUTLERsince at least 2019.
S0134;Downdelph;Delphacy;is a first-stage downloader written in Delphi that has been used byAPT28in rare instances between 2013 and 2015.
S0186;DownPaper;;"is a backdoor Trojan; its main functionality is to download and run second stage malware."
S0694;DRATzarus;;is a remote access tool (RAT) that has been used byLazarus Groupto target the defense and aerospace organizations globally since at least summer 2020.shares similarities withBankshot, which was used byLazarus Groupin 2017 to target the Turkish financial sector.
S0300;DressCode;;is an Android malware family.
S0384;Dridex;Bugat v5;is a prolific banking Trojan that first appeared in 2014. By December 2019, the US Treasury estimatedhad infected computers in hundreds of banks and financial institutions in over 40 countries, leading to more than $100 million in theft.was created from the source code of the Bugat banking Trojan (also known as Cridex).
S1054;Drinik;;is an evolving Android banking trojan that was observed targeting customers of around 27 banks in India in August 2021. Initially seen as an SMS stealer in 2016,resurfaced as a banking trojan with more advanced capabilities included in subsequent versions between September 2021 and August 2022.
S0320;DroidJack;;is an Android remote access tool that has been observed posing as legitimate applications including the Super Mario Run and Pokemon GO games.
S0547;DropBook;;is a Python-based backdoor compiled with PyInstaller.
S0502;Drovorub;;is a Linux malware toolset comprised of an agent, client, server, and kernel modules, that has been used byAPT28.
S0105;dsquery;dsquery.exe;is a command-line utility that can be used to query Active Directory for information from a system within a domain.  It is typically installed only on Windows Server versions but can be installed on non-server variants through the Microsoft-provided Remote Server Administration Tools bundle.
